id,career,pattern,old_code,old_occupation,new_code,new_occupation,reason
00e8b498-0506-4baf-bc94-342bb9134d44,Virtual Production Supervisor,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
014b1891-0482-4550-818c-597ed98f1b09,Acquisitions Manager (Art Gallery),actors,27-2011.00,Actors,11-9199.00,"Managers, All Other",runs a gallery; a management role
020a92e9-92cc-4693-ad3a-2f63ceae6d81,Performance Video Director,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
03cec116-c43a-4da3-8c63-c70584a7aa5b,Experimental Theater Artist,actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
0f0ea9d0-f758-4218-abe0-ca13c1f9d3c6,Gallery Owner & Curator,actors,27-2011.00,Actors,25-4012.00,Curators,curation
134e8756-7a12-4c9a-980d-44c611b29654,Circus Performer,actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
1468e8dd-930f-41ee-93bb-58907f024487,Digital Art Curator,actors,27-2011.00,Actors,25-4012.00,Curators,curation
14e692dc-d4f3-4743-8482-af58d50db9a3,Puppetry Director (Commercial Production),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
18c89993-611b-4e65-8fa4-d523bd4abf4d,Stage Manager (Live Events),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
1a78a39d-e4f3-4642-b972-a83ff5f7f6dd,Performance Artist (Live Installation),actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
1b67f8dc-a164-4a21-8ad0-dac516ded924,Gallery Director,actors,27-2011.00,Actors,11-9199.00,"Managers, All Other",runs a gallery; a management role
1d7ef65a-1976-40c2-9fdd-faade2575c8a,Production Coordinator (Media),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
22a2e81d-4d2a-4233-bdc0-2ccf8ff7dc71,Street Magician,actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
241d3c91-1cb9-45d0-860a-1c8843259c57,Audiobook Publisher,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
2909e4c3-e127-4082-8146-66e65eacbf05,Gallery Installation Director,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
2b728672-1975-47db-9509-b6628d68cf17,Stage Manager,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
3072496b-7208-4cea-800f-e993792fd49f,Animation Supervisor,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
3598ec78-8330-4b13-8f3a-9d374bc034ea,Improvisation Director (Film/TV),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
43f2d514-f500-43b1-8df3-0abfd151bbc0,Independent Theater Producer,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
49045a2c-52af-4908-a0fa-a550285b793c,Intimacy Coordinator,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
4bf0fc52-f215-49db-98c8-10a0ea40bd2d,Art Gallery Director,actors,27-2011.00,Actors,11-9199.00,"Managers, All Other",runs a gallery; a management role
509a4bc5-5488-4bc6-b166-7c576040c3c7,Attention Director (Film/TV),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
529f26ae-ac42-4118-9e3d-d0abf5af2bb1,Audio Drama Producer,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
52af0342-45bd-4cb8-b023-b4d634dd0851,Fitness Model,actors,27-2011.00,Actors,41-9012.00,Models,modelling
5655aa7e-1c8b-4180-810b-5a44719241e2,Comedy Club Talent Scout,actors,27-2011.00,Actors,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","comedy talent scouting is agent work, not athletic scouting"
57a1ca6e-050e-436d-850c-ffbc77a18b95,Performance Artist,actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
5d4c338b-3876-412d-9ba3-caa3858f886e,Immersive Theater Director,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
63caf3c9-93f5-4ba5-896d-dd8539d05ccc,Virtual Theater Producer,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
68c3ca16-2dce-4306-ac42-d8ec990c4186,Performance Artist (Live),actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
6adff103-00e7-41bd-92ba-628016ba7edc,Exhibition Installer,actors,27-2011.00,Actors,27-1027.00,Set and Exhibit Designers,exhibit and staging design
6beee3ae-789f-4fcc-912f-fc73923bef70,Stunt Coordinator,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
6e687fc5-7708-416c-a3a8-fd394d7a8a72,Art Gallery Curator,actors,27-2011.00,Actors,25-4012.00,Curators,curation
6f472f6d-ea3b-4b41-bfb8-bfd30be521c7,Projection Designer,actors,27-2011.00,Actors,27-1027.00,Set and Exhibit Designers,exhibit and staging design
6fa75538-ff4e-4e6a-90d9-1fa03c2ebf5f,TV Show Runner,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
74cdbc00-07c9-4b4d-a23e-6a3e1426c9fe,Performance Video Artist,actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
78c5e63a-edb4-4e81-8292-21f7797a3eac,Independent Film Distributor,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
793da35c-cb01-4f38-8b32-3b3b6b20db3d,Puppetry Performer (Professional Stage),actors,27-2011.00,Actors,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","performer, but not an actor"
7a0d3b6c-48ae-4755-91ce-60909cf03159,Stage Manager (Theater),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
89231ab9-27be-421a-88a6-8dd229da95bd,Stage Manager (Broadway),actors,27-2011.00,Actors,27-2012.00,Producers and Directors,production coordination sits with producers and directors
89d334cd-9cb5-4065-8085-1c8e241220ca,Live Event Director,actors,27-2011.00,Actors,27-2012.00,Producers and Directors,directing or producing
