created_at,rows_in_batch,flagged,flagged_pct
2026-04-22T02:52:30.082186+00:00,100,8,8.0
2026-04-22T02:52:34.239097+00:00,100,12,12.0
2026-04-22T02:52:31.845128+00:00,100,9,9.0
2026-04-22T02:52:30.264317+00:00,100,7,7.0
2026-04-22T02:52:32.086589+00:00,100,7,7.0
2026-04-22T02:52:29.856816+00:00,100,5,5.0
2026-04-22T02:52:31.660242+00:00,100,7,7.0
2026-04-22T02:52:29.206458+00:00,100,5,5.0
2026-04-22T02:52:29.646164+00:00,100,7,7.0
2026-04-22T02:52:30.47108+00:00,100,10,10.0
2026-04-22T02:52:33.86077+00:00,100,10,10.0
2026-04-22T02:52:29.422718+00:00,100,9,9.0
2026-04-22T02:52:30.655222+00:00,100,6,6.0
2026-04-22T02:52:33.675655+00:00,100,8,8.0
2026-04-22T02:52:34.465719+00:00,100,10,10.0
2026-04-22T02:52:32.271017+00:00,100,11,11.0
2026-04-22T02:52:32.496342+00:00,100,4,4.0
2026-04-22T02:52:33.477982+00:00,100,8,8.0
2026-04-22T02:52:31.20659+00:00,100,10,10.0
2026-04-22T02:52:31.392704+00:00,100,4,4.0
2026-04-22T02:52:33.087307+00:00,100,6,6.0
2026-04-22T02:52:34.05043+00:00,100,8,8.0
2026-04-22T02:52:33.295118+00:00,100,7,7.0
2026-04-22T02:52:32.680575+00:00,100,8,8.0
2026-04-22T02:52:32.905098+00:00,100,12,12.0
2026-04-22T02:52:34.616352+00:00,34,2,5.9
2026-07-09T03:52:26.703142+00:00,1,0,0.0
2026-07-19T03:25:59.509597+00:00,1,0,0.0
2026-07-24T03:20:02.373704+00:00,1,0,0.0
2026-05-25T02:31:35.710507+00:00,1,0,0.0
2026-06-12T02:32:31.881917+00:00,1,0,0.0
2026-08-13T02:25:12.120847+00:00,1,0,0.0
2026-07-28T02:56:25.323996+00:00,1,1,100.0
2026-05-14T02:12:04.12808+00:00,1,0,0.0
2026-04-29T01:59:04.103263+00:00,1,0,0.0
2026-07-19T03:25:46.096737+00:00,1,0,0.0
2026-07-11T03:18:45.770051+00:00,1,0,0.0
2026-06-02T02:37:27.814173+00:00,1,0,0.0
2026-04-29T02:01:09.045575+00:00,1,0,0.0
2026-04-25T06:07:36.446723+00:00,1,0,0.0
2026-05-29T02:07:30.631759+00:00,1,0,0.0
2026-08-16T01:42:01.758224+00:00,1,0,0.0
2026-07-02T04:03:11.603661+00:00,1,0,0.0
2026-06-08T02:37:47.042906+00:00,1,0,0.0
2026-06-12T02:33:10.588822+00:00,1,0,0.0
2026-06-04T02:40:02.002928+00:00,1,0,0.0
2026-05-10T01:54:43.772084+00:00,1,0,0.0
2026-06-03T02:45:15.458079+00:00,1,0,0.0
2026-05-30T02:03:29.331201+00:00,1,0,0.0
2026-05-31T02:29:54.06949+00:00,1,0,0.0
2026-04-29T02:01:12.402744+00:00,1,0,0.0
2026-06-29T04:28:19.500571+00:00,1,0,0.0
2026-05-22T02:15:02.353099+00:00,1,0,0.0
2026-04-24T06:30:04.880891+00:00,1,0,0.0
2026-05-12T02:01:36.135538+00:00,1,0,0.0
2026-06-01T02:42:01.169487+00:00,1,0,0.0
2026-04-28T07:57:12.291884+00:00,1,0,0.0
2026-08-12T02:27:46.857274+00:00,1,1,100.0
2026-08-18T01:35:12.760028+00:00,1,1,100.0
2026-05-14T02:12:23.322741+00:00,1,0,0.0
2026-07-15T02:53:11.244202+00:00,1,0,0.0
2026-05-13T02:07:13.731227+00:00,1,0,0.0
2026-04-26T06:29:53.776981+00:00,1,0,0.0
2026-04-27T07:57:40.428066+00:00,1,0,0.0
2026-08-16T01:43:34.994695+00:00,1,0,0.0
2026-06-06T02:08:04.660378+00:00,1,0,0.0
2026-04-28T07:57:43.564524+00:00,1,0,0.0
2026-06-23T04:03:08.154362+00:00,1,0,0.0
2026-06-26T04:12:52.06712+00:00,1,0,0.0
2026-05-03T01:51:21.17392+00:00,1,0,0.0
2026-05-13T02:06:48.124305+00:00,1,0,0.0
2026-06-21T02:41:37.916192+00:00,1,0,0.0
2026-08-13T02:25:24.785884+00:00,1,0,0.0
2026-05-07T01:57:52.484082+00:00,1,0,0.0
2026-04-25T06:07:33.027205+00:00,1,0,0.0
2026-05-12T02:00:59.212967+00:00,1,0,0.0
2026-07-02T04:04:04.846982+00:00,1,0,0.0
2026-05-14T02:09:11.572296+00:00,1,0,0.0
2026-05-19T02:12:17.597655+00:00,1,0,0.0
2026-04-22T06:27:54.03876+00:00,1,0,0.0
2026-08-12T02:23:48.903973+00:00,1,0,0.0
2026-07-12T03:30:27.200633+00:00,1,0,0.0
2026-06-21T02:41:13.856851+00:00,1,0,0.0
2026-05-16T02:00:26.906785+00:00,1,0,0.0
2026-06-16T02:46:31.099534+00:00,1,0,0.0
2026-06-13T02:14:20.904725+00:00,1,0,0.0
2026-04-26T06:30:26.048522+00:00,1,0,0.0
2026-05-30T02:02:38.956261+00:00,1,1,100.0
2026-06-26T04:14:59.008247+00:00,1,0,0.0
2026-06-16T02:47:26.974877+00:00,1,0,0.0
2026-06-12T02:33:22.757132+00:00,1,0,0.0
2026-08-17T01:40:42.032145+00:00,1,0,0.0
2026-05-21T02:12:35.000683+00:00,1,0,0.0
2026-05-05T01:54:58.128336+00:00,1,0,0.0
2026-05-05T01:54:45.761495+00:00,1,0,0.0
2026-04-23T06:30:50.929456+00:00,1,0,0.0
2026-05-21T02:14:06.081117+00:00,1,0,0.0
2026-06-08T02:39:18.792926+00:00,1,0,0.0
2026-04-23T06:31:52.662334+00:00,1,0,0.0
2026-07-23T03:25:20.020136+00:00,1,0,0.0
2026-05-08T02:03:46.042399+00:00,1,0,0.0
2026-05-25T02:31:28.994983+00:00,1,0,0.0
2026-07-21T03:20:07.061079+00:00,1,0,0.0
2026-04-22T06:26:29.788765+00:00,1,0,0.0
2026-05-08T02:04:52.844552+00:00,1,0,0.0
2026-04-23T06:30:34.351042+00:00,1,0,0.0
2026-05-13T02:07:57.466358+00:00,1,0,0.0
2026-08-15T01:37:32.213951+00:00,1,0,0.0
2026-06-13T02:15:10.177953+00:00,1,0,0.0
2026-06-16T02:47:03.7915+00:00,1,0,0.0
2026-05-12T02:01:26.444745+00:00,1,0,0.0
2026-05-08T02:02:41.216715+00:00,1,0,0.0
2026-08-07T02:57:25.647705+00:00,1,0,0.0
2026-07-18T02:54:07.262353+00:00,1,0,0.0
2026-06-17T02:42:07.79026+00:00,1,0,0.0
2026-05-07T01:57:22.411361+00:00,1,0,0.0
2026-07-03T03:50:36.080856+00:00,1,0,0.0
2026-05-10T01:54:50.253305+00:00,1,0,0.0
2026-07-24T03:19:45.257354+00:00,1,0,0.0
2026-06-22T02:44:24.983725+00:00,1,0,0.0
2026-06-29T04:28:32.985074+00:00,1,0,0.0
2026-07-06T04:06:15.229248+00:00,1,0,0.0
2026-08-17T01:39:58.5574+00:00,1,0,0.0
2026-08-07T02:58:45.426406+00:00,1,0,0.0
2026-04-28T07:57:21.948064+00:00,1,0,0.0
2026-04-29T01:59:32.509482+00:00,1,0,0.0
2026-06-05T02:14:48.631618+00:00,1,0,0.0
2026-05-24T02:11:12.289692+00:00,1,0,0.0
2026-06-22T03:27:32.511772+00:00,1,0,0.0
2026-06-07T02:35:26.41857+00:00,1,0,0.0
