id,title,soc_code,onet_occupation,from_source_url,to_source_url
02fa8c04-94e9-47b4-9e49-48cfc7e5c4a4,Emergency Medical Technician,29-2042.00,Emergency Medical Technicians,https://www.bls.gov/ooh/healthcare-support/emergency-medical-technicians-and-paramedics.htm,https://www.onetonline.org/link/summary/29-2042.00
0815d925-a3b4-4bec-8f72-ea2a7fbc2448,Tutor (Private Mathematics),25-3041.00,Tutors,https://www.bls.gov/ooh/education-training-and-library/tutors-and-teachers.html,https://www.onetonline.org/link/summary/25-3041.00
093d0ab1-2c1e-4154-8f2f-84d1c657b599,Clinical Laboratory Technologist,29-2011.00,Medical and Clinical Laboratory Technologists,https://www.bls.gov/ooh/healthcare-occupations/clinical-laboratory-technologists-and-technicians.htm,https://www.onetonline.org/link/summary/29-2011.00
0d1fe05b-3845-4197-917f-da94cc7841ed,Video Editor (Freelance),27-4032.00,Film and Video Editors,https://www.onetonline.org/link/summary/27-4008.00,https://www.onetonline.org/link/summary/27-4032.00
0f4714e5-e12a-4b6a-8b99-3cf6a916e796,Physicist (Research),19-2012.00,Physicists,https://www.bls.gov/ooh/life-physical-social-science/physicists-and-astronomers.htm,https://www.onetonline.org/link/summary/19-2012.00
10fc9ed0-3b28-45d7-b0cc-2007f05d800a,Cardiologist,29-1212.00,Cardiologists,https://www.bls.gov/ooh/healthcare-and-social-assistance/physicians-and-surgeons.htm,https://www.onetonline.org/link/summary/29-1212.00
1239ef70-78de-4645-881f-06b03f04c3f6,Video Editor (Media),27-4032.00,Film and Video Editors,https://www.onetonline.org/link/summary/27-4008.00,https://www.onetonline.org/link/summary/27-4032.00
149b4016-44a1-4a69-bd39-5182c7539f15,Video Editor (Documentary),27-4032.00,Film and Video Editors,https://www.onetonline.org/link/summary/27-4008.00,https://www.onetonline.org/link/summary/27-4032.00
1dac1327-4bb6-4ae9-af80-3b6cc82e3e0d,System Administrator,15-1244.00,Network and Computer Systems Administrators,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects-and-administrators.htm,https://www.onetonline.org/link/summary/15-1244.00
2b322872-2c36-46b3-a1a2-bdb4bc1409d6,Barista (Specialty Coffee),35-3023.01,Baristas,https://www.bls.gov/ooh/food-preparation-and-serving-related/food-and-beverage-servers.htm,https://www.onetonline.org/link/summary/35-3023.01
2e10f388-89a7-4622-991a-cf8bf84f9e39,Radio Announcer,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,https://www.bls.gov/ooh/media-and-communication/radio-and-television-broadcasters.htm,https://www.onetonline.org/link/summary/27-3011.00
315fdacd-41ec-4076-9b48-1b9ec4b35eff,Sports Physician,29-1229.06,Sports Medicine Physicians,https://www.bls.gov/ooh/healthcare-and-technical/physicians-and-surgeons.htm,https://www.onetonline.org/link/summary/29-1229.06
31a440f1-e78d-4474-9dd5-0390a42635ff,Video Editor (Media Production),27-4032.00,Film and Video Editors,https://www.onetonline.org/link/summary/27-4008.00,https://www.onetonline.org/link/summary/27-4032.00
